Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,132.635,-105.585,0.0,top
C2,1uF,C_0402_1005Metric,132.164541,-100.721964,180.0,top
C3,0.1uF,C_0402_1005Metric,144.635,-111.085,180.0,top
C4,0.1uF,C_0402_1005Metric,153.191807,-105.29281,-90.0,top
C5,0.1uF,C_0402_1005Metric,142.535,-92.525,0.0,top
C6,0.1uF,C_0402_1005Metric,134.835,-101.095,90.0,top
C7,0.1uF,C_0402_1005Metric,146.8663,-111.1237,0.0,top
C8,0.1uF,C_0402_1005Metric,140.0363,-92.5237,0.0,top
C9,0.1uF,C_0402_1005Metric,153.2063,-97.2237,90.0,top
C10,0.1uF,C_0402_1005Metric,134.690014,-105.719753,-90.0,top
C12,0.1uF,C_0402_1005Metric,134.349537,-99.597334,0.0,top
D1,BAT54XV2T1G,D_SOD-523,155.357516,-110.325,-170.0,top
J1,505278-1933,5052781933,156.375,-101.85,90.0,top
R1,10k,R_0402_1005Metric,154.155,-108.595,90.0,top
R2,10k,R_0402_1005Metric,153.155,-108.595,90.0,top
R3,330,R_0402_1005Metric,140.135148,-111.081628,180.0,top
R4,4.7k,R_0402_1005Metric,153.755,-95.495,180.0,top
R5,100K,R_0402_1005Metric,136.400669,-94.269738,-150.0,top
R6,0,R_0402_1005Metric,132.320975,-99.381166,-30.0,top
R7,4.7k,R_0402_1005Metric,142.455,-111.095,0.0,top
U1,XC3S200A-4VQG100C,QFP50P1600X1600X120-100N,144.05,-101.75,-90.0,top
U2,AT25SF041B-MAHD-T,SON50P300X200X60-9N-D,134.004134,-96.886698,-90.0,top
U3,TPS7A0512PDBZR,SOT-23,133.380875,-103.089124,-135.0,top
